"","Gene.Name","eventID","AS_type","chromosome_name","band"
"1","Acnat2","ENSMUSG00000060317.9;A3:chr4:49381924-49383086:49381870-49383086:-","A3","4","qB1"
"2","Ctf2","ENSMUSG00000060034.5;AF:chr7:127723275-127725567:127725616:127723275-127732046:127732166:-","AF","7","qF3"
"3","Lmo2","ENSMUSG00000032698.15;SE:chr2:103970712-103976005:103976220-103980875:+","SE","2","qE2"
"4","Plekha4","ENSMUSG00000040428.19;SE:chr7:45549306-45549804:45549965-45553569:+","SE","7","qB3"
"5","Plekha4","ENSMUSG00000040428.19;A3:chr7:45553681-45553765:45553681-45553774:+","A3","7","qB3"
"6","Prdm16","ENSMUSG00000039410.16;A3:chr4:154320922-154322271:154320865-154322271:-","A3","4","qE2"
"7","Txnrd2","ENSMUSG00000075704.16;AF:chr16:18426462:18426559-18429811:18428697:18428755-18429811:+","AF","16","qA3"
"8","Plekha4","ENSMUSG00000040428.19;SE:chr7:45538477-45539206:45539289-45540480:+","SE","7","qB3"
"9","Brd3","ENSMUSG00000026918.16;AF:chr2:27464193-27475577:27475654:27464193-27507490:27507662:-","AF","2","qA3"
"10","Phyhip","ENSMUSG00000003469.9;AF:chr14:70457476:70457803-70461739:70458523:70458594-70461739:+","AF","14","qD2"
"11","Capzb","ENSMUSG00000028745.18;AF:chr4:139192922:139193028-139238909:139199267:139199328-139238909:+","AF","4","qD3"
"12","C2cd4c","ENSMUSG00000045912.8;A5:chr10:79613338-79613757:79613338-79613890:-","A5","10","qC1"
"13","Cys1","ENSMUSG00000062563.14;A3:chr12:24666252-24666767:24666181-24666767:-","A3","12","qA1.3"
"14","Txnrd2","ENSMUSG00000075704.16;AF:chr16:18426445:18426559-18429811:18428697:18428755-18429811:+","AF","16","qA3"
"15","Eps8","ENSMUSG00000015766.14;AF:chr6:137539401-137588993:137589026:137539401-137649052:137649285:-","AF","6","qG1"
